Guardians of the Galaxy,Sci-fi/Action,Brash space adventurer Peter Quill (Chris Pratt) finds himself the quarry of relentless bounty hunters after he steals an orb coveted by Ronan a powerful villain. To evade Ronan Quill is forced into an uneasy truce with four disparate misfits: gun-toting Rocket Raccoon treelike-humanoid Groot enigmatic Gamora and vengeance-driven Drax the Destroyer. But when he discovers the orb's true power and the cosmic threat it poses Quill must rally his ragtag group to save the universe.,8/10,https://upload.wikimedia.org/wikipedia/en/3/33/Guardians_of_the_Galaxy_%28film%29_poster.jpg
Guardians of the Galaxy Vol. 2,Sci-fi/Action,Peter Quill and his fellow Guardians are hired by a powerful alien race the Sovereign to protect their precious batteries from invaders. When it is discovered that Rocket has stolen the items they were sent to guard the Sovereign dispatch their armada to search for vengeance. As the Guardians try to escape the mystery of Peter's parentage is revealed.,7.6/10,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Guardians_of_the_Galaxy_Vol._2_poster.jpg/220px-Guardians_of_the_Galaxy_Vol._2_poster.jpg
Guardians of the Galaxy Vol. 3,Sci-fi/Action,Still reeling from the loss of Gamora Peter Quill must rally his team to defend the universe and protect one of their own. If the mission is not completely successful it could possibly lead to the end of the Guardians as we know them.,8.2/10,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Guardians_of_the_Galaxy_Vol._3_poster.jpg/220px-Guardians_of_the_Galaxy_Vol._3_poster.jpg
Spider-Man,Action/Fantasy,"Spider-Man" centers on student Peter Parker (Tobey Maguire) who after being bitten by a genetically-altered spider gains superhuman strength and the spider-like ability to cling to any surface. He vows to use his abilities to fight crime coming to understand the words of his beloved Uncle Ben: "With great power comes great responsibility.",7.4/10,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Spider-Man2002Poster.jpg/220px-Spider-Man2002Poster.jpg
Spider-Man 2,Action/Fantasy,When a failed nuclear fusion experiment results in an explosion that kills his wife Dr. Otto Octavius (Alfred Molina) is transformed into Dr. Octopus a cyborg with deadly metal tentacles. Doc Ock blames Spider-Man (Tobey Maguire) for the accident and seeks revenge. Meanwhile Spidey's alter ego Peter Parker faces fading powers and self-doubt. Complicating matters are his best friend's (James Franco) hatred for Spider-Man and his true love's (Kirsten Dunst) sudden engagement to another man.,7.4/10,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Spider-Man_2_Poster.jpg/220px-Spider-Man_2_Poster.jpg
Spider-Man 3,Action/Fantasy,Peter Parker (Tobey Maguire) and M.J. (Kirsten Dunst) seem to finally be on the right track in their complicated relationship but trouble looms for the superhero and his lover. Peter's Spider-Man suit turns black and takes control of him not only giving Peter enhanced power but also bringing out the dark side of his personality. Peter must overcome the suit's influence as two supervillains Sandman and Venom rise up to destroy him and all those he holds dear.,6.3/10,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Spider-Man_3%2C_International_Poster.jpg/220px-Spider-Man_3%2C_International_Poster.jpg
The Amazing Spider-Man,Action/Adventure,Abandoned by his parents and raised by an aunt and uncle teenager Peter Parker (Andrew Garfield) AKA Spider-Man is trying to sort out who he is and exactly what his feelings are for his first crush Gwen Stacy (Emma Stone). When Peter finds a mysterious briefcase that was his father's he pursues a quest to solve his parents' disappearance. His search takes him to Oscorp and the lab of Dr. Curt Connors (Rhys Ifans) setting him on a collision course with Connors' alter ego the Lizard.,6.9/10,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/The_Amazing_Spider-Man_theatrical_poster.jpeg/220px-The_Amazing_Spider-Man_theatrical_poster.jpeg
The Amazing Spider-Man 2,Action/Sci-fi,Confident in his powers as Spider-Man Peter Parker (Andrew Garfield) embraces his new role as a hero and spends time with Gwen Stacy (Emma Stone) in between protecting New York from criminals. However his greatest battle yet is about to begin. With the emergence of Electro (Jamie Foxx) Peter must confront an enemy far more powerful than he is. And when his old friend Harry Osborn (Dane DeHaan) returns Peter comes to realize that all his enemies have one thing in common: Oscorp.,6.6/10,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/The_Amazing_Spiderman_2_poster.jpg/220px-The_Amazing_Spiderman_2_poster.jpg
Spider-Man: Homecoming,Action/Adventure,Thrilled by his experience with the Avengers young Peter Parker returns home to live with his Aunt May. Under the watchful eye of mentor Tony Stark Parker starts to embrace his newfound identity as Spider-Man. He also tries to return to his normal daily routine -- distracted by thoughts of proving himself to be more than just a friendly neighborhood superhero. Peter must soon put his powers to the test when the evil Vulture emerges to threaten everything that he holds dear.,7.4/10,https://upload.wikimedia.org/wikipedia/en/f/f9/Spider-Man_Homecoming_poster.jpg
Spider-Man: Far From Home,Action/Sci-fi,Peter Parker's relaxing European vacation takes an unexpected turn when Nick Fury shows up in his hotel room to recruit him for a mission. The world is in danger as four massive elemental creatures -- each representing Earth air water and fire -- emerge from a hole torn in the universe. Parker soon finds himself donning the Spider-Man suit to help Fury and fellow superhero Mysterio stop the evil entities from wreaking havoc across the continent.,7.4/10,https://upload.wikimedia.org/wikipedia/en/b/bd/Spider-Man_Far_From_Home_poster.jpg
Spider-Man: No Way Home,Action/Adventure,With Spider-Man's identity now revealed our friendly neighborhood web-slinger is unmasked and no longer able to separate his normal life as Peter Parker from the high stakes of being a superhero. When Peter asks for help from Doctor Strange the stakes become even more dangerous forcing him to discover what it truly means to be Spider-Man.,8.2/10,https://upload.wikimedia.org/wikipedia/en/0/00/Spider-Man_No_Way_Home_poster.jpg
Shrek,Comedy/Fantasy,Once upon a time in a far away swamp there lived an ogre named Shrek (Mike Myers) whose precious solitude is suddenly shattered by an invasion of annoying fairy tale characters. They were all banished from their kingdom by the evil Lord Farquaad (John Lithgow). Determined to save their home -- not to mention his -- Shrek cuts a deal with Farquaad and sets out to rescue Princess Fiona (Cameron Diaz) to be Farquaad's bride. Rescuing the Princess may be small compared to her deep dark secret.,7.9/10,https://upload.wikimedia.org/wikipedia/en/7/7b/Shrek_%282001_animated_feature_film%29.jpg
Shrek 2,Comedy/Family,After returning from their honeymoon and showing home movies to their friends Shrek and Fiona learn that her parents have heard that she has married her true love and wish to invite him to their kingdom called Far Far Away. The catch is: Fiona's parents are unaware of the curse that struck their daughter and have assumed she married Prince Charming not a 700-pound ogre with horrible hygiene and a talking donkey pal.,7.3/10,https://upload.wikimedia.org/wikipedia/en/b/b9/Shrek_2_poster.jpg
Shrek the Third,Comedy/Family,When King Harold suddenly croaks Shrek (Mike Myers) learns he will have to rule the land of Far Far Away unless he can find a suitable heir to the throne. The most-promising candidate is Princess Fiona's (Cameron Diaz) cousin Artie (Justin Timberlake) a teenage slacker in a medieval high-school. Shrek and his trusted companions Donkey (Eddie Murphy) and Puss in Boots (Antonio Banderas) set out to bring Artie back but find their mission is a bigger challenge than they expected.,6.1/10,https://upload.wikimedia.org/wikipedia/en/2/22/Shrek_the_Third_%282007_animated_feature_film%29.jpg
Shrek the Halls,Comedy/Short,Shrek the Halls is an American Christmas computer-animated comedy television special that premiered on the American television network ABC on November 28 2007. The thirty minute Christmas special was co-written and directed by Gary Trousdale and produced by DreamWorks Animation.,6.4/10,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Shrek_the_Halls_poster.jpg/220px-Shrek_the_Halls_poster.jpg
Shrek Forever After,Comedy/Adventure,Long-settled into married life and fully domesticated Shrek (Mike Myers) begins to long for the days when he felt like a real ogre. Duped into signing a contract with devious Rumpelstiltskin he finds himself in an alternate version of Far Far Away where ogres are hunted Rumpelstiltskin rules and he and Fiona (Cameron Diaz) have never met. Shrek must find a way out of the contract to restore his world and reclaim his true love.,6.3/10,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Shrek_Forever_After_%282010_animated_feature_film%29.jpg/220px-Shrek_Forever_After_%282010_animated_feature_film%29.jpg
